leader,follower,n_quarters,r,p,same_sector,mean_gap
V,UAL,9,0.46539346376037044,0.20679264760353425,False,8.333333333333334
UBER,DAL,12,0.464373485811189,0.1282896537898902,False,6.5
GS,MSFT,11,0.4612622102611791,0.15328262348742175,False,6.2727272727272725
NVDA,AMD,9,0.46011395892413537,0.21268087114693238,True,10.11111111111111
ABBV,RTX,14,0.459009146073325,0.09874304865150896,False,7.142857142857143
MRK,DAL,10,0.4572074411457712,0.18401000004740883,False,6.6
AAPL,UBER,11,0.4569338506231798,0.15768368069887975,True,9.272727272727273
HD,BA,11,0.4567207182484539,0.1579023976888646,False,10.0
COST,HD,7,0.45651716700244066,0.3031598257122409,True,8.142857142857142
LLY,MSFT,11,0.4558577983653549,0.1587898540754079,False,8.454545454545455
ISRG,C,8,0.455465128169949,0.2567594905467022,False,7.75
UNH,AMD,12,0.45469940309252943,0.13750785584617178,False,8.583333333333334
AMZN,ISRG,12,0.454004324244239,0.13818622076148585,False,9.166666666666666
LLY,JPM,9,0.45296767958848233,0.22079669921194736,False,8.444444444444445
UNH,BLK,10,0.4500565661794946,0.19184658211422495,False,10.3
LLY,AXP,12,0.44671866152230505,0.1454270510836091,False,8.666666666666666
AXP,MRK,6,0.44670059234075055,0.3745167465649101,False,10.833333333333334
NVDA,JNJ,10,0.4454925136511344,0.19694870350012855,False,9.4
PANW,META,12,0.44485810877235216,0.1473144525835282,True,8.25
AVGO,ABBV,6,0.4435255074286079,0.3783357713977141,False,7.833333333333333
META,TMO,10,0.4422726014357718,0.2005952959462527,False,5.9
AXP,TSLA,12,0.4413476450601498,0.1509182068835795,False,4.25
RTX,HD,7,0.4408835525164247,0.32210267239332036,False,9.428571428571429
LLY,ISRG,10,0.4406332257899929,0.20246687114826728,True,10.2
HD,NVDA,12,0.4398204724184499,0.1525034018203316,False,10.333333333333334
INTC,LLY,11,0.43914705469749904,0.17658710136575465,False,10.818181818181818
TMO,DAL,10,0.4386196731251067,0.20477943306288704,False,8.9
TMO,AXP,11,0.4382579416268965,0.1775667118880343,False,9.909090909090908
DAL,JPM,11,0.438149879560909,0.17768599870081372,False,5.909090909090909
TSLA,ABBV,6,0.43696130571821956,0.38627368479164137,False,7.333333333333333
MS,MA,13,0.43531213012520226,0.1370861470133353,True,6.538461538461538
AMD,GOOGL,12,0.43312901936199344,0.15957422267630217,True,7.166666666666667
BLK,CRM,7,0.4310400280559015,0.3342833549071851,False,10.857142857142858
COST,PG,11,0.43036912401880617,0.18640371768554936,True,6.818181818181818
RTX,LLY,10,0.43028988456548867,0.21450789068329484,False,9.7
WFC,UAL,9,0.4296158182122489,0.24847741091793138,False,10.0
WFC,PANW,9,0.4287198267379348,0.24957467999170807,False,9.666666666666666
PEP,META,10,0.42803905596064507,0.21718132823667485,False,9.9
BLK,ISRG,12,0.4257280787604497,0.1676332184315681,False,7.166666666666667
AMZN,META,10,0.42195253659826015,0.22450569862030756,False,11.1
JPM,COST,13,0.4188113444282629,0.15433627240694914,False,7.923076923076923
WFC,RTX,10,0.4185465338429579,0.2286649016740042,False,11.5
ABBV,MA,12,0.41789823358864403,0.17643356788340706,False,9.416666666666666
PANW,AAPL,10,0.4174095594464462,0.23006296016118533,True,5.2
GS,WFC,12,0.41708539371618847,0.1773633816764908,True,6.166666666666667
AVGO,WFC,11,0.41691801776925486,0.20207505696461373,False,6.181818181818182
ADBE,WFC,10,0.4148193022893363,0.23326604964446976,False,7.4
AXP,UNH,8,0.41460094557497207,0.3071135543409303,False,7.375
MS,V,10,0.4136348684784975,0.23473905436316883,True,9.6
TSLA,AXP,8,0.411681137951904,0.31087880218559627,False,8.0
MA,PANW,9,0.41120022138481294,0.2715470787882834,False,5.111111111111111
GS,META,11,0.4099976254274657,0.21043475029794032,False,10.090909090909092
JNJ,UBER,9,0.408760613046103,0.27468432586363983,False,5.888888888888889
UNH,V,11,0.40852906721975435,0.21223471702713073,False,7.818181818181818
GS,UAL,8,0.4031205006012641,0.3220438666644123,False,11.125
HD,LLY,12,0.4017310443111846,0.19550338377168103,False,7.75
BA,UAL,10,0.401573632813778,0.25003631017223305,True,8.0
MRK,UAL,11,0.40138415688838525,0.22112179712395155,False,7.363636363636363
JPM,AVGO,8,0.4004502504198399,0.3255645741879062,False,12.125
BA,ABBV,9,0.40034596114397,0.28564950925300014,False,5.222222222222222
JNJ,PEP,9,0.40017555056877907,0.2858738742508071,False,6.111111111111111
MSFT,MS,6,0.3996018306562659,0.4325017884648381,False,9.0
INTC,PANW,14,0.398986580241571,0.15759965695606676,True,6.0
INTC,RTX,9,0.39881922593576424,0.2876628775756318,False,10.11111111111111
PANW,ADBE,9,0.397318956995186,0.28964845721859567,True,7.333333333333333
C,AMD,10,0.39690153481704266,0.256107054960099,False,7.6
DAL,GS,11,0.3966894781373929,0.22707838133433342,False,11.636363636363637
TMO,COST,11,0.39646337002094306,0.22736761086427404,False,8.636363636363637
MRK,BA,10,0.39604794182723474,0.2572249074238883,False,9.2
PEP,AMZN,10,0.3956593841057198,0.25773464859482353,True,8.9
WFC,GS,8,0.3949693051288694,0.33284741402228396,True,12.125
NOW,GS,10,0.3948592139683755,0.25878613280052654,False,8.5
ISRG,V,9,0.3923722574812761,0.29624513520555845,False,6.222222222222222
RTX,V,9,0.39197746815340545,0.29677489209011976,False,10.555555555555555
RTX,GOOGL,11,0.3916709903646903,0.23354850938371682,False,11.272727272727273
MS,ISRG,15,0.39130348220567834,0.14921743853128291,False,7.866666666666666
V,NVDA,12,0.39090912494817703,0.2089487952883396,False,7.333333333333333
RTX,AMZN,7,0.3906480963709411,0.3862377718211868,False,10.714285714285714
TMO,JPM,10,0.3900467426466563,0.2651599075643457,False,6.1
MRK,ADBE,10,0.3900405573488578,0.265168154455469,False,7.4
TMO,AVGO,9,0.3888376680664156,0.30100533499238036,False,10.555555555555555
UAL,BA,10,0.38880619429944346,0.26681675425474094,True,8.9
ISRG,WFC,8,0.3882334471836333,0.34190052539308896,False,6.5
COST,TSLA,11,0.3851639985545422,0.24209552627236736,True,9.0
TSLA,RTX,10,0.38457620572300294,0.2725087353034315,False,8.9
GS,NVDA,10,0.3824720254858761,0.27536461100746823,False,11.2
INTC,WFC,11,0.38200520978166014,0.24630879949876175,False,8.454545454545455
MA,AMD,10,0.3813164198891405,0.2769399370642269,False,7.9
AXP,CRM,11,0.38126688360106753,0.24729963754968357,False,3.8181818181818183
PG,CAT,17,0.379454330920631,0.13304348486810733,False,6.882352941176471
TMO,ISRG,10,0.3786284353874702,0.2806230815819123,True,13.1
ABBV,JNJ,14,0.3783050265863824,0.18229055765824279,True,10.357142857142858
BLK,AXP,10,0.376806539416433,0.2831344752748591,True,9.4
WFC,AAPL,11,0.37677828657384493,0.25337255432337646,False,7.2727272727272725
GOOGL,UBER,8,0.3762346887718684,0.3583041812123434,True,8.5
TMO,RTX,9,0.37611941871084464,0.318452514790593,False,11.0
PEP,TSLA,12,0.3753865089700414,0.22919136421315398,True,9.083333333333334
AMZN,LLY,10,0.375277460717258,0.28525156342106567,False,9.9
UBER,AXP,13,0.37380790137702324,0.20831542824392507,False,8.23076923076923
CRM,ADBE,12,0.3737694213681034,0.23136508794275215,True,7.0
UAL,META,9,0.37260053466642296,0.3233672140636251,False,10.666666666666666
UAL,MRK,9,0.37152357986455653,0.3248788726534863,False,8.555555555555555
PEP,PANW,9,0.3697350788351383,0.32739704484524046,False,7.555555555555555
MRK,HD,7,0.3692973894336681,0.4149230461861305,False,9.142857142857142
AMD,COST,11,0.36762157552529384,0.26602267810236796,False,5.909090909090909
JNJ,BA,9,0.36738548078798167,0.33071991169984283,False,9.0
TSLA,PG,12,0.36724174225304945,0.2402642645671971,True,4.416666666666667
V,PANW,8,0.36714793011781033,0.3709592485900322,False,9.875
UAL,WFC,11,0.3670166190073737,0.2668707590661177,False,6.545454545454546
GOOGL,MS,7,0.36584227941068576,0.4196409951475904,False,9.428571428571429
MS,NVDA,15,0.3655524442387903,0.1802813376899652,False,5.733333333333333
UBER,CRM,9,0.36516809494097885,0.33387104561296244,True,9.555555555555555
INTC,GOOGL,14,0.36284385655123214,0.20228845568650722,True,11.428571428571429
DAL,AAPL,12,0.3611119376526544,0.2488026303918704,False,8.583333333333334
TMO,CRM,9,0.35931772367985937,0.34225572013330013,False,11.444444444444445
AXP,HD,10,0.3587597225568384,0.30866050882145846,False,4.3
AMZN,UBER,11,0.35836370576129206,0.27916774987397025,False,7.090909090909091
GOOGL,RTX,9,0.3582805444068958,0.34375284240940346,False,9.222222222222221
COST,AXP,13,0.3575923496614352,0.23030112035509545,False,8.0
WFC,ISRG,12,0.3573957535864652,0.25406454579266147,False,8.833333333333334
TMO,V,9,0.357245947360667,0.34524942015806315,False,10.11111111111111
BA,MS,12,0.3555048150859802,0.25676677291184635,False,5.0
V,BLK,11,0.3543586699654092,0.2849645635458197,True,8.545454545454545
UNH,NVDA,8,0.3537644659772591,0.38995555110487234,False,9.125
ISRG,JNJ,9,0.35189958906790986,0.35303355846148365,True,11.0
BA,CAT,16,0.3512189944275095,0.18224150699349845,True,8.125
UBER,COST,11,0.3508491979217637,0.2900985625078573,False,8.818181818181818
JNJ,AVGO,7,0.3502639242984647,0.44116788803204715,False,6.857142857142857
LLY,GOOGL,10,0.3499590807324738,0.3215321104369909,False,9.9
NOW,INTC,6,0.34900739110422874,0.4977445382380842,True,7.333333333333333
UNH,NOW,12,0.3489638236460253,0.26624272069294214,False,8.166666666666666
LLY,MRK,11,0.3489083515741998,0.2929596091420366,True,6.454545454545454
