ticker_1,ticker_2,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,sector_1,sector_2,same_sector,same_industry,pearson_p_fdr,pearson_sig,spearman_p_fdr,spearman_sig,both_sig,adj_pearson_r,adj_spearman_r,adj_sig,pearson_r_h1,pearson_r_h2,stable,gold_standard
ABBV,TMO,20,0.010500311744633749,0.964955323820647,-0.030086500811389378,0.8997991006288069,Healthcare,Healthcare,True,False,0.9950294801604196,False,0.9870789978946621,False,False,0.21279235598364077,0.21442177359703546,False,0.196250542638269,-0.08592513076721632,False,False
ABBV,TSLA,20,0.150236653894328,0.5272422612196253,0.01654757544626416,0.94479672348428,Healthcare,Consumer Discretionary,False,False,0.9159219682657188,False,0.9944504726680532,False,False,0.22665756062816234,0.04377389657566686,False,-0.08818598501521908,0.46243564107484936,False,False
ABBV,UAL,20,-0.22080156722971406,0.34953541654669057,-0.18352765494947523,0.4386197189926836,Healthcare,Industrials,False,False,0.902448550033894,False,0.9388069700786292,False,False,-0.37781948467558707,-0.3366061702197832,False,-0.22058960809320657,-0.28215933963016127,False,False
ABBV,UBER,20,-0.39884929072474484,0.0815102953101506,-0.4580669748534033,0.04224761980117297,Healthcare,Technology,False,False,0.902448550033894,False,0.8693292104028387,False,False,-0.33730062148721107,-0.44960621893322056,False,-0.4734743048882209,-0.23514574598713428,False,False
ABBV,UNH,20,-0.6645767455998914,0.0013914697843040158,-0.7318541322370467,0.00024463802594831065,Healthcare,Healthcare,True,False,0.5426732158785662,False,0.1908176602396823,False,False,-0.33421114826903886,-0.4235585034786511,False,-0.752418745332958,-0.6046131500578774,True,False
ABBV,V,20,-0.318486170275736,0.17113850688100032,-0.2858217577081991,0.22185345666864525,Healthcare,Financials,False,False,0.902448550033894,False,0.8693292104028387,False,False,-0.2608630471365966,-0.24131121913641831,False,-0.07227945819918173,-0.8017417829012377,False,False
ABBV,WFC,20,-0.05241538043698704,0.8262874464160885,0.0,1.0,Healthcare,Financials,False,False,0.9787962785541944,False,1.0,False,False,-0.14804620666218102,-0.05056639776844276,False,-0.19541394016004546,0.07086121081811071,False,False
ADBE,AMD,20,-0.29921646538168645,0.1999903500664456,-0.13383458646616542,0.5737559530736434,Technology,Technology,True,False,0.902448550033894,False,0.9788693944433551,False,False,-0.21867185632942893,-0.24294849405196928,False,-0.45530473446998576,0.1945016550302476,False,False
ADBE,AMZN,20,-0.18459932308663823,0.4359041644179732,-0.2601503759398496,0.2679803337219607,Technology,Consumer Discretionary,False,False,0.902448550033894,False,0.8758480148671337,False,False,-0.33677686665470774,-0.431578947368421,False,-0.3708978519818822,0.0631840712226198,False,False
ADBE,AVGO,20,0.09769053148682663,0.6819988687372468,0.10827067669172932,0.6495672222012883,Technology,Technology,True,False,0.9448652177887256,False,0.9788693944433551,False,False,0.17574884116126027,0.010526315789473682,False,0.10735712613222874,0.22503508255665872,False,False
ADBE,AXP,20,-0.29984938583753257,0.19899426408962462,-0.31127819548872177,0.18157577037037329,Technology,Financials,False,False,0.902448550033894,False,0.8693292104028387,False,False,-0.16386159253710578,-0.2857142857142857,False,-0.49120344804245997,0.0024103991019772766,False,False
ADBE,BA,20,0.13183380572862669,0.5795488273340497,0.28421052631578947,0.22458459821120466,Technology,Industrials,False,False,0.937105311910801,False,0.8693292104028387,False,False,3.748571801506437e-05,0.07682268209255774,False,0.37089784343221627,0.12272155033980783,False,False
ADBE,BLK,20,0.17945029960235898,0.4490322701655758,0.17976684234805151,0.44821934202384783,Technology,Financials,False,False,0.902448550033894,False,0.9388069700786292,False,False,0.3118565333839323,0.2857142857142857,False,0.08145648260372608,0.4028985540077789,False,False
